time,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 5,T + SeTr + St 5,T + SeTr + St 5,T + SeTr ,T + SeTr ,T + SeTr ,T ,T ,T ,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + To + SeTr,Se + To + SeTr,Se + To + SeTr,Se + To ,Se + To ,Se + To ,Se + ST 15,Se + ST 15,Se + ST 15,Se + ST 10,Se + ST 10,Se + ST 10,Se + ST 7,Se + ST 7,Se + ST 7,Se + ST 5,Se + ST 5,Se + ST 5,Se ,Se ,Se ,Negative ,Negative ,Negative 
9 h 22 min,137434,136966,156309,144511,123400,122378,92776,99872,96908,83808,86767,84861,66505,61519,64125,56254,60620,55984,172257,178214,176860,133498,131892,149096,133540,132207,120774,131279,125944,121941,57228,66260,65801,68533,60492,60230,82897,54771,69671,55101,49625,57962,57564,55276,53499,54723,64374,65880,35675,36481,34290,15261,14021,19353
9 h 24 min,138607,137957,157440,144260,124200,123006,93084,100592,96927,83176,87045,85094,66454,61492,64347,55947,60591,55135,171647,178758,176356,132794,131514,149484,132917,132325,120411,131416,125830,121944,57484,65436,65840,68373,60706,59913,83611,54330,70098,55272,49832,58277,57172,54863,53220,54408,64588,65816,35189,36043,34425,15337,14175,19608
9 h 26 min,138032,137292,157172,145108,123416,123623,92663,100443,96777,83482,87377,84684,66294,61794,64150,56394,60555,55966,172357,178401,176234,132872,131682,149194,133205,132103,120307,131076,125184,121625,57490,65445,66481,67894,61037,60635,84024,55040,69454,55256,49887,58448,57465,55314,53517,54738,64918,66030,35645,36103,34596,15189,14043,19802
9 h 28 min,138534,137540,156815,144237,123666,123541,93005,100716,96394,83682,87517,85313,66164,61426,64250,56425,61033,55765,171514,178241,176935,132997,132206,148453,133650,133212,120064,131217,125860,120300,57439,65646,65812,67864,60824,60309,83674,54778,69449,55185,49730,58356,57176,55216,53723,54662,65037,65668,35187,36204,34565,15281,14068,19536
9 h 30 min,138491,138043,157628,145388,123869,123696,92631,100838,97159,83336,87560,85082,66471,61709,64369,55994,61244,55782,170965,178158,176603,132828,131770,148872,132948,132782,119858,131061,125489,121405,58075,65693,65480,68045,60779,60247,83811,54845,69762,55083,50177,58847,57088,55196,53686,54505,65528,66051,35234,36010,34641,15024,14222,19610
9 h 32 min,138717,137839,157285,145432,123612,123518,93189,100750,97107,83335,87723,85286,66644,61623,64373,56546,61164,55745,171004,178719,176010,132804,131413,147933,133081,132346,120043,130801,124621,121154,57968,65803,66229,68151,60893,60845,84202,54727,70136,55326,50034,58488,57068,55591,53346,54540,64907,65570,35427,36344,34297,15127,14082,19739
9 h 34 min,139250,138319,157608,145710,124060,123523,92859,101535,97135,83678,87687,85127,66297,61561,64108,56145,60859,56050,172117,177918,176092,133405,131578,148489,133029,132167,120321,131330,126040,120724,57528,65472,65842,68322,60943,60519,84133,55096,69695,55377,50061,58724,57149,55116,53504,54176,65468,65851,35223,36101,34160,15171,14067,19155
9 h 36 min,137821,137105,158603,145943,124390,123576,93323,101363,97338,84000,87339,85609,66474,61773,64534,56321,61086,55777,170923,178180,176153,133000,131524,148370,132845,131691,121088,131292,125531,120635,57747,65320,66279,68672,60901,60600,84095,54463,70244,55513,50236,58905,57358,55041,53556,54015,64985,65870,35394,36149,34409,15298,13903,19452
9 h 38 min,139191,138114,158785,146296,124250,124195,93575,100513,97701,83733,88091,85196,66387,61841,64521,56243,60315,56192,171408,178829,175870,133069,131646,148001,132787,132352,119905,131043,125729,120623,58110,65740,65836,68202,60897,60381,83990,54710,69954,55285,50215,59133,57391,54885,53614,54099,65846,66358,35389,35842,34193,15022,14027,19442
9 h 40 min,138464,138223,158347,146429,124439,124631,94118,101773,97838,84123,87749,85939,66820,61442,64434,56230,61243,56274,171078,179057,176569,132096,131139,148567,132729,132090,120450,130646,125238,120570,57739,65234,66499,68454,60882,60655,84128,54835,69967,55521,50366,58759,57474,55191,53834,54747,65617,66179,35433,35802,34356,14863,14035,19740
9 h 42 min,139405,138272,158913,146575,124266,123911,93844,101110,97799,83263,87646,85965,66617,61865,64554,55868,61145,55748,171515,179041,176459,132501,131614,147331,132377,132552,119926,130898,125065,120218,57723,65570,66088,68281,61157,60802,84461,54362,70249,55471,50183,58950,57776,55297,54050,54048,65306,66210,35667,35914,33694,15067,13986,19710
9 h 44 min,138602,138021,158182,146886,124923,124304,94304,101485,97905,83849,88032,85609,67237,61994,64607,56234,60909,55682,172047,178166,175730,132470,131746,147420,131942,132068,120268,130440,125208,120784,57678,65718,65698,69011,60995,60699,84936,54983,70129,55855,50414,58811,57352,55869,54012,54002,64865,66121,35549,36043,34120,14947,13751,19700
9 h 46 min,138165,138633,158752,146545,124620,124382,93621,101917,98223,83831,88212,85783,66666,62054,65099,56342,61082,56116,170730,178576,176619,131711,131613,147620,131885,132188,120339,130633,125714,119929,58018,65848,66308,68035,60771,60737,84792,54948,70184,55577,50157,58864,58004,55404,54096,54728,65621,66116,35621,35678,34264,15001,14017,19594
9 h 48 min,139198,138434,158892,147322,124315,125139,94093,101417,98014,84153,87590,85544,66535,61848,64474,56590,60793,55924,171137,178516,175687,132276,132300,146804,132754,131664,120144,130326,125377,120269,57820,66090,65907,69014,60530,60740,84294,55005,70445,55456,50223,58998,58089,55041,54163,53931,65273,66159,35555,35655,33925,15106,13856,19426
9 h 50 min,139534,138130,159273,147200,124285,124779,93643,101989,97989,83971,88322,85582,66517,61836,64017,56162,61189,55955,171053,178411,177090,132093,131191,147113,132031,132290,120013,129709,125185,119821,57649,66487,66449,68335,60774,60752,84299,55249,70104,55738,50241,59010,57870,55404,53793,54152,65251,65900,35711,35847,33858,15119,13709,19470
9 h 52 min,139917,138227,159754,147020,124957,124880,94073,101352,98188,84048,88555,85566,66589,61707,63980,56499,60536,56365,171262,178892,175728,132399,130943,146571,131850,131772,120018,130374,124882,120305,57861,66032,66384,68493,60712,60659,84177,54855,70091,55587,50233,58826,58401,55587,53766,54272,65190,66070,35405,36322,33812,15033,13978,19351
9 h 54 min,139665,138387,159361,146806,124850,124826,94125,101707,97877,84208,88369,85634,67339,61951,64335,56235,60924,55832,170706,178197,176058,131762,131528,146821,131906,131112,119792,130174,124940,119592,57507,65818,65863,68377,61178,60940,84659,55447,69353,55732,50495,59210,58010,54978,54001,54039,65360,66146,35686,35770,34001,15081,13753,19461
9 h 56 min,139350,138469,160065,147299,125479,124481,94082,101783,98514,83896,88222,86622,66849,61644,64841,55957,60788,56168,170321,178587,175612,132907,131047,146227,131674,131986,120509,129805,124679,119915,57784,65558,66350,68237,60719,60394,84103,54792,69951,55400,50278,59519,57635,55125,54009,54013,65943,65732,35670,35804,33853,14934,13866,19206
9 h 58 min,138965,138419,159619,146921,125233,124158,93542,101688,98345,84073,88702,86197,66426,61575,64331,56079,60464,55770,171431,178182,176425,131979,131317,146461,132290,132607,119834,130192,124938,119701,58184,65848,66057,68428,61268,60822,84547,54960,69988,55447,50495,59326,58390,55237,53620,54591,65346,66139,35533,35821,33644,15199,13758,19342
