time,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,Se6To3,Se6To3,Se6To3,Se6To3,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM
1 h 13 min,27358.5,24832.5,24756.5,22693.5,-574.5,-870.5,-688.5,-1048.5,-350.25,-499.25,-567.25,-296.25,-473.5,-748.5,-786.5,-249.5,-367.5,-371.5,-523.5,34.5,1875.5,391.5,-43.5,142.5,121.25,-345.75,-834.75,-388.75,493.75,41.75,1317.75,245.75,-68.75,366.25,-83.75,908.25
1 h 16 min,29302.5,26654.5,26793.5,23935.5,-447.5,-661.5,-653.5,-879.5,-297.25,-649.25,-483.25,-377.25,-769.5,-122.5,-262.5,-248.5,55.5,-98.5,-297.5,-106.5,2134.5,531.5,-32.5,295.5,211.25,-149.75,-459.75,-527.75,534.75,288.75,953.75,-167.25,212.25,501.25,79.25,838.25
1 h 18 min,31478.5,28909.5,28123.5,26236.5,-601.5,-310.5,-683.5,-646.5,-105.25,-250.25,-733.25,-385.25,-544.5,-579.5,-699.5,-145.5,261.5,-106.5,-284.5,404.5,1754.5,655.5,-58.5,712.5,-5.75,-290.75,-270.75,-628.75,828.75,100.75,1868.75,332.75,130.25,524.25,176.25,864.25
1 h 20 min,33665.5,30746.5,29879.5,27219.5,-417.5,-258.5,-363.5,-831.5,-287.25,-538.25,-846.25,-105.25,-239.5,-503.5,-465.5,2.5,352.5,74.5,152.5,632.5,2369.5,778.5,624.5,1015.5,334.25,-276.75,-363.75,-706.75,875.75,-80.25,1587.75,491.75,303.25,672.25,539.25,1331.25
1 h 23 min,35653.5,32886.5,31257.5,28881.5,-399.5,-440.5,-427.5,-1022.5,-281.25,-275.25,-553.25,86.75,-100.5,-98.5,-449.5,102.5,195.5,-96.5,185.5,857.5,2443.5,1437.5,547.5,1235.5,647.25,-94.75,-129.75,-22.75,1638.75,97.75,2116.75,599.75,681.25,648.25,524.25,1521.25
1 h 25 min,37816.5,34982.5,32962.5,30975.5,-433.5,-238.5,-257.5,-659.5,-36.25,283.75,-607.25,431.75,-7.5,40.5,-700.5,238.5,1057.5,384.5,284.5,798.5,2749.5,1738.5,660.5,1545.5,938.25,-14.75,-359.75,-250.75,1439.75,862.75,3187.75,937.75,720.25,864.25,736.25,1665.25
1 h 28 min,40541.5,37447.5,35136.5,32839.5,-333.5,-128.5,-409.5,-101.5,334.75,515.75,261.75,115.75,111.5,-5.5,-85.5,498.5,872.5,956.5,8.5,1283.5,3414.5,2382.5,1212.5,1859.5,819.25,159.25,172.25,-501.75,1763.75,745.75,2287.75,1027.75,1013.25,1248.25,955.25,1988.25
1 h 30 min,42737.5,38666.5,36495.5,34441.5,-590.5,-341.5,-323.5,-500.5,357.75,269.75,-66.25,595.75,335.5,616.5,12.5,762.5,468.5,675.5,340.5,1391.5,3814.5,2255.5,955.5,1888.5,1246.25,908.25,40.25,-15.75,2288.75,961.75,2665.75,1391.75,878.25,1410.25,1156.25,2148.25
1 h 32 min,44310.5,41470.5,38532.5,36314.5,-55.5,141.5,-131.5,-429.5,405.75,375.75,323.75,1193.75,576.5,381.5,-277.5,770.5,1430.5,942.5,1239.5,1855.5,4249.5,2919.5,1557.5,2416.5,967.25,536.25,68.25,-178.75,2434.75,1356.75,3368.75,1411.75,1298.25,1844.25,1591.25,2961.25
1 h 35 min,46730.5,43530.5,40837.5,38081.5,44.5,44.5,-217.5,-347.5,704.75,420.75,-114.25,844.75,381.5,393.5,342.5,602.5,1260.5,787.5,855.5,1797.5,4550.5,3306.5,1891.5,2915.5,1094.25,749.25,167.25,517.25,2879.75,1273.75,3314.75,1719.75,1856.25,1846.25,1475.25,2865.25
