time,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
6 h ,1042905,894575,977919,908848,724312,802265,405196,409954,404522,879201,1034187,960290,884440,1072167,952810,479547,512054,447851,1415540,1303951,1189998,941658,957031,930135,392201,407685,411466,79658,86094,72614,65457,76655,69105,80430,82681,66918,25634,24440,22738,26701,27131,27263,25815,28724,24104
6 h 10 min,1063422,914101,1006342,924070,741514,817034,407231,420377,415041,878308,1033940,962944,890546,1071328,988232,490726,522518,458150,1439975,1318060,1200724,936075,956907,929997,393686,408592,413721,81417,88332,74387,68102,77019,71015,80795,84487,67462,26240,25115,23177,26881,27363,27518,25805,28150,24558
6 h 20 min,1062088,917195,1006933,926353,743522,817419,408194,420363,416114,880851,1037185,963838,892870,1075660,989181,491166,523274,458810,1438558,1319916,1203061,935607,959410,928209,393838,409472,414505,82170,88731,75057,68448,77548,71087,81137,84321,67880,26482,25569,23673,26844,27327,27397,25694,28437,24585
6 h 30 min,1043634,898783,985523,909618,727172,807463,408276,412126,406750,884110,1038230,962765,888084,1098816,956729,482847,515051,450326,1420077,1305024,1197864,942524,956797,933710,395116,410751,414918,80567,86075,74014,66971,76562,69987,80945,83019,67484,25974,25105,23180,26838,26817,27597,25907,28585,24029
6 h 40 min,1063435,918941,1011925,930437,744113,822452,410105,420198,416417,886228,1044404,967551,899346,1090304,991216,493820,524237,461368,1441817,1320040,1212371,934920,959905,934246,395089,411906,416403,83400,89926,76166,69935,78756,72551,81848,84579,68048,27066,26072,23694,27373,27195,27790,26061,28880,24596
6 h 50 min,1041778,906194,992797,916920,728203,811080,409692,413226,407410,887864,1043290,964814,895427,1111096,965570,486023,516743,453063,1423804,1306963,1201810,941795,961349,941892,395336,411260,419098,81609,87782,74654,68242,78197,71183,81220,83912,67889,27095,25424,23744,27051,26972,27498,26576,29423,24642
7 h ,1044995,905727,993168,917264,730623,812771,410930,414684,409225,887617,1045243,967922,896280,1115551,966519,485735,517843,454204,1422484,1302521,1193436,942524,960648,939650,397688,412924,416733,82336,88292,74823,68273,77962,70390,82032,83086,68941,27036,25771,23895,27291,26993,28315,26609,29665,24577
7 h 10 min,1044555,905149,995121,921279,728905,811795,409720,413859,408854,889831,1045958,965405,898865,1119814,966217,485955,515216,453750,1421246,1305657,1199514,943638,960359,942208,396945,412374,420005,82372,88179,74988,68153,76947,70120,81819,83560,69329,26985,25986,23851,27522,27241,28284,26497,29570,24879
7 h 20 min,1061414,923905,1013836,934535,742697,824638,412951,421752,419070,890656,1045408,965749,907528,1107122,995176,493889,525089,461684,1442519,1319229,1213677,935814,959905,937615,397867,414478,420432,84265,90532,76818,69998,78315,72840,82618,85314,69955,27402,26850,24948,28157,28331,28632,26624,28855,25212
7 h 30 min,1063587,924332,1016875,937147,741170,827856,416417,422852,416884,891481,1050248,968169,906469,1109226,1000195,497285,525433,463541,1442546,1320906,1212866,934274,963412,939733,399118,415701,421174,85242,91985,78042,70723,79474,72805,82951,84664,70370,28912,27699,25588,28007,28022,28895,26877,29489,25588
