time,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,Negative,Negative,Negative
4 h 42 min,107290,129640,141851,130869,127305,122223,91410,91059,102160,72703,71171,77744,62081,58618,61368,61897,45975,58599,18806,19798,18534
4 h 44 min,108217,130172,143047,131962,128246,122919,91894,91214,103019,73640,71829,78215,62497,59022,61002,61823,45596,58137,18613,19714,18350
4 h 46 min,109248,131874,144413,133131,129567,123587,92031,92765,104346,73949,72727,79078,62859,59259,62095,62504,45840,58413,18698,19694,18630
4 h 48 min,110403,132523,145504,134377,131192,125371,93441,93421,104661,74670,73306,79428,63693,59624,61947,62634,45887,58675,18543,19813,18359
4 h 50 min,110715,133442,146835,135925,132453,126134,93925,95151,105897,74985,73612,80187,63461,60378,62677,63376,45961,58876,18836,19822,18244
4 h 52 min,111523,135388,147566,137388,133108,127078,95268,95147,106304,76203,74000,80396,63827,61083,62550,63705,46116,58860,18711,20080,18567
4 h 54 min,112352,135584,149437,137823,134610,127853,96184,95601,107606,76376,75056,80858,64602,60872,63199,63984,45784,58788,18722,19769,18728
4 h 56 min,113352,136934,150059,138975,136212,128770,96324,96592,108466,76908,75301,81598,65393,60894,63713,64106,46117,59275,18774,19972,18723
4 h 58 min,114197,138489,152081,140082,137321,129692,97892,96494,109248,77960,76384,82456,65444,61644,64417,64078,46249,59040,18804,19808,18642
5 h ,115086,139908,152679,140922,137999,130804,98338,98823,110080,78478,77039,82983,65996,62237,64261,64488,46333,58786,19016,20177,18584
5 h 2 min,115638,140264,153938,142226,139497,131674,99557,99038,111127,79020,77903,83600,66262,62051,64828,65145,46372,59128,19007,20076,18729
5 h 4 min,115508,141229,155306,143648,140504,131956,100700,100287,112602,79474,78219,84537,66525,62798,64895,65457,46390,59323,18982,20140,18713
5 h 6 min,117207,142201,155814,145426,142507,133873,101356,100624,113321,80159,78761,84935,66622,63632,65804,65616,46544,59178,19078,20044,18742
5 h 8 min,117576,143345,156682,145393,142772,133659,102480,101456,114155,80541,79187,86048,67105,63930,66270,65704,46337,59267,19150,19965,18708
5 h 10 min,118667,143866,159039,147368,144844,134967,103455,102224,114918,81250,79998,86117,68082,64224,66233,66125,46377,59242,18942,20131,18625
5 h 12 min,118558,145487,159152,148036,146470,135778,104562,103045,115608,81638,79578,86828,68173,64560,66961,66395,46301,58935,18873,20180,18776
5 h 14 min,119676,146180,160679,149531,146413,136465,105539,104369,116589,82618,80566,87901,68563,65051,67263,66729,46353,59296,18936,20058,18726
5 h 16 min,120412,146776,161970,149718,148501,137764,106495,104435,117571,82952,80614,88381,68220,65044,67277,67121,46567,59017,19120,20158,18632
5 h 18 min,121106,148245,163188,151156,149055,138442,107106,105717,117999,82841,82052,89409,69255,65873,68324,67548,46248,58812,19198,20089,18643
5 h 20 min,121122,149080,164162,151827,150187,139270,108807,106257,119659,83830,82417,89694,70476,66333,68558,67336,46703,58884,19217,20298,18575
5 h 22 min,121992,149739,165371,153155,152229,139646,108856,107019,120897,84538,83262,90174,70133,66409,69071,67252,46091,58750,19083,20297,18631
5 h 24 min,122986,151413,166109,153853,152654,141276,110319,109046,121773,85738,83173,90889,70625,66799,69135,67653,46262,58994,19111,20190,18936
5 h 26 min,123970,151751,167176,155393,153709,142029,112243,108835,122800,85652,84797,91399,71204,67473,69954,68043,46620,59167,19101,20250,18609
5 h 28 min,124824,152712,168434,156164,154038,143033,112526,109353,123738,86601,85181,92323,71319,67666,70000,68083,46379,59109,19338,20279,18633
5 h 30 min,125405,154059,169932,157274,154921,142949,113933,111001,124783,87611,85479,92496,71836,68072,70022,68028,46768,58896,19410,20295,18842
