time,Negative,Negative,Negative,STAR6 15 nM,STAR6 15 nM,STAR6 15 nM,STAR6 10 nM,STAR6 10 nM,STAR6 10 nM,STAR6 5 nM,STAR6 5 nM,STAR6 5 nM,STAR6 3 nM,STAR6 3 nM,STAR6 3 nM,STAR1 15 nM,STAR1 15 nM,STAR1 15 nM,STAR1 10 nM,STAR1 10 nM,STAR1 10 nM,STAR1 5 nM,STAR1 5 nM,STAR1 5 nM,STAR1 3 nM,STAR1 3 nM,STAR1 3 nM,Without STAR6,Without STAR6,Without STAR6
3 h 12 min,17876,18847,19187,30037,31017,29710,27046,27379,26522,21256,21559,21808,19853,19483,20403,22724,23529,23013,24941,24027,23856,24189,22092,22854,25040,24324,24226,19821,20488,19827
3 h 14 min,17869,18754,19461,30824,31643,29989,27591,27654,26902,21621,21746,21859,19895,19548,20627,22445,23679,23508,25004,24042,24251,24113,22470,22941,25016,24482,24458,20056,20760,19935
3 h 16 min,18113,18904,18989,30517,31417,30037,27472,27975,27194,21610,21733,22130,20348,19663,20646,22538,23913,23449,24706,24105,24204,24086,22140,23257,25207,24420,24124,20007,20620,19779
3 h 18 min,18043,18746,19590,30811,31725,30519,27556,27940,27002,21533,22050,22384,20083,19710,20710,22859,23799,23302,25194,24457,24711,24386,22369,23271,25469,24903,24287,19868,20980,19911
3 h 20 min,18015,18860,19217,31217,31888,30720,28009,28084,27096,21741,21946,22150,20369,19989,20919,23069,23867,23724,25183,24593,24593,24534,22409,23212,25133,24726,24818,20456,20744,19988
3 h 22 min,18134,18891,19628,31613,31971,30640,27974,28548,27763,21888,22071,22241,20495,19846,20961,22654,24336,23659,25273,24512,24712,24799,22702,23528,25417,25126,24876,20027,20939,19891
3 h 24 min,18120,18930,19412,31618,32527,30857,28258,28549,27329,22136,22189,22599,20492,20058,20675,23237,24380,23739,25701,24795,24579,24462,22660,23378,25592,25214,24644,20078,21089,19979
3 h 26 min,18336,19114,19582,31708,32485,31184,28286,28613,27659,22139,22144,22677,20527,19869,20831,23315,24185,23684,25611,24959,25257,24913,22992,23585,25995,25262,25078,20416,21258,20213
3 h 28 min,18602,19256,19779,31730,32675,31162,28623,28738,28043,22247,22220,22641,20560,20282,21055,23114,24671,24193,25635,24673,25245,24940,22988,23856,25894,25180,25257,20362,21286,20533
3 h 30 min,18519,19448,19982,32119,32974,31703,28848,29193,27746,22242,22444,22925,20454,20283,21049,23396,24740,24206,25621,25071,25346,25254,23138,24177,26214,25638,25242,20366,21209,20335
3 h 32 min,18664,19159,19777,32104,33099,31465,28879,29172,27906,22626,22573,23079,20783,19986,21135,23533,24746,24497,26180,25020,25254,24953,22816,23901,26476,25259,25456,20705,21596,20313
3 h 34 min,18625,19460,19999,32478,33469,32048,29202,29663,28176,22521,22601,23116,21124,20295,21158,23506,25086,24154,26193,25082,25349,25582,23101,24354,26698,25657,25849,20674,21328,20606
3 h 36 min,18617,19192,19865,32901,33848,32291,29071,29884,28300,22493,22576,23067,21178,20475,21221,23419,25225,24479,26190,25325,25652,25364,23758,24256,26236,26091,25892,20615,21689,20681
3 h 38 min,18814,19443,19985,33197,33665,32648,29518,29886,28282,22938,22990,23293,21298,20451,21533,23935,24968,24511,26369,25362,25616,25619,23573,24476,26583,25889,25975,20704,21395,20498
3 h 40 min,18414,19640,20123,33270,33866,32633,29713,30290,28452,22781,22700,23267,20896,20411,21574,24098,25185,24502,26549,25614,25728,25886,23696,24436,27020,26275,26103,20883,21947,20549
