time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM
3 h 14 min,19515,19331,20049,100691,98588,99647.5,56339,56614.5,56095,58116,61510.5,56964,74423,81362,78028
3 h 16 min,19294,19424,19806,100972.5,99984.5,100144,56725,57034.5,56437,58710.5,61805.5,57828.5,75206,81983.5,78473
3 h 18 min,19484,19337,20195,102224.5,100770.5,101395.5,57787.5,57842,56949.5,58854,62391.5,58532.5,76181,83002.5,79439.5
3 h 20 min,19456,19355,20091,102883.5,101731,102401.5,58611.5,58373,57388,59858.5,63097,58958,77006.5,84041,80166
3 h 22 min,19409,19309,20174,104309,102474,102889,58963.5,59220.5,58158.5,60507.5,63731,59514.5,77685.5,84653.5,81276.5
3 h 24 min,19773,19624,20184,105304,103528.5,104291,59435.5,59570.5,58706.5,61205.5,64779,60053.5,78398,85881.5,81842.5
3 h 26 min,19719,19711,20309,106088,104850,105050,59779.5,60074.5,59304,61623.5,65195,60505,79442,86638,82762
3 h 28 min,19796,19822,20227,107100,105940,105976,61045,60827.5,59609.5,62139.5,65720,61595,80270,87689,83799
3 h 30 min,19793,19600,20489,107583,106491,106760.5,61359.5,61767,60547.5,63004.5,66506.5,62248,81055,88915,84492
3 h 32 min,19711,19894,20382,108566.5,107689,107555,62297,62434.5,61040.5,63749,66818,62576,81571.5,89750.5,85476
3 h 34 min,19858,19487,20528,109750.5,108916,108798.5,62937,62752.5,61950,64047,67569,63733.5,82318.5,90134,86211.5
3 h 36 min,19833,19806,20414,110302.5,109757,109843,63496.5,64087.5,61910.5,64613.5,68139.5,63937,83381.5,91475,87200
3 h 38 min,19774,20066,20502,111510,111196,110700.5,64551.5,64352.5,62709.5,65030.5,68936.5,64547,84300.5,92381,88500
3 h 40 min,20203,20051,20619,112039,111769,112236.5,64821,65040,63687.5,66039.5,69760.5,65062,85512,93335,88910
3 h 42 min,20060,19870,20751,112948,112864.5,112931,64898,65547.5,64027,67048,70332.5,65888.5,86309.5,94159.5,89573
