time,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Negative,Negative,Negative
5 h 22 min,114002,102854,110411,90784,100328,94905,80952,76096,72446,62953,63214,60345,44545,46449,45343,24803,24943,24263
5 h 24 min,115120,104058,111515,90717,99897,95728,80869,76593,72112,62890,64206,61040,44724,46712,45257,24811,25338,24044
5 h 26 min,115645,104107,111817,91868,101189,95760,81446,76525,73352,63323,63887,61299,45214,46853,45482,25099,24862,24174
5 h 28 min,115837,104737,112220,92160,101253,96649,81795,76816,72984,63748,64383,61001,45129,46791,46046,25242,25340,24104
5 h 30 min,117005,105636,113677,93306,101385,97720,82158,76980,73366,63746,64997,61159,45057,47056,45660,25183,25041,24462
5 h 32 min,118157,106002,113810,93751,102333,98486,83332,77723,74331,64164,64950,61629,45089,46937,45652,25278,25447,24290
5 h 34 min,118536,106940,114642,93788,103137,98484,83390,78099,74712,64306,65269,61794,44888,47079,45991,25011,25173,23920
5 h 36 min,119217,107453,115184,95066,103423,98956,83159,78346,74471,64796,66056,61861,45347,47455,45275,25140,25433,24116
5 h 38 min,119426,107572,116043,95105,103500,99754,84249,78334,74922,65436,66764,62470,44943,47238,46201,25287,25383,23877
5 h 40 min,119900,108315,116940,95919,103775,100033,84041,79526,75283,64942,68219,61881,45293,47361,46172,25268,25147,24413
5 h 42 min,120697,108938,116902,96499,104661,100821,85020,79466,75255,65129,68284,62491,45250,47505,46608,25357,25229,24127
5 h 44 min,121533,110131,118071,96569,105051,100599,85200,79918,76063,64886,68272,63091,45507,47474,46145,25369,25331,24340
5 h 46 min,122494,110202,118248,96810,105230,101614,85511,80480,75906,65545,68023,62972,45769,47707,45935,25475,25303,24214
5 h 48 min,123187,110382,119210,97127,105852,102014,85766,80452,76366,65945,68975,63254,45441,47662,46205,25161,25275,24427
5 h 50 min,122996,111198,119117,97963,106142,102343,86577,81179,76609,66121,68390,63437,45662,48010,46424,25649,25514,24372
5 h 52 min,124791,111303,119931,98716,106747,102789,86978,80750,76775,66516,69058,63538,45604,47787,46079,25500,25406,24263
5 h 54 min,125217,113013,121241,99186,106396,103789,87191,81603,77225,66273,69411,63383,45982,48276,46158,25499,25316,24438
5 h 56 min,124533,112845,121350,99824,107111,104002,87704,82045,76731,67241,69404,64146,45417,48133,46192,25476,25473,24362
5 h 58 min,125866,112685,121577,99786,108297,104501,87949,82157,77269,67082,69478,64180,45730,48250,46890,25635,25708,24038
6 h,125780,113681,122945,100501,108035,104433,88564,82922,78459,67240,69598,64276,45761,48279,46834,25642,25880,24088
