,,"Negative Control","Negative Control","Negative Control","Sense only","Sense only","Sense only","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR",Sample,Sample,Sample,"Positive Control","Positive Control","Positive Control"
"1 h 38 min",,23241,31922,31005,43414,36639,37278,53292,50702,49868,50746,45032,64034,71982,64645,64189,34121,34886,33482,29693,39368,29978,27062,31050,32832,29240,26918,24345,32343,30902,40000,33757,36764,29286,33954,36663,32918,35929,30819,36563,32500,33467,29353,29327,30404,31753,70378,75673,70487
"1 h 40 min",,24337,32579,31558,43426,38334,38822,55265,51660,50500,52446,46694,64588,73506,67089,65748,35578,34157,35712,30503,38447,31187,28209,31691,34917,29676,27289,24827,33399,31817,39608,34503,36853,29326,36216,39148,34383,39131,32465,38492,34129,34643,30031,29875,31323,32578,71775,78171,71112
"1 h 42 min",,24615,32205,32091,43995,38840,38842,55032,53290,51992,54485,48193,65887,74647,68400,67723,35753,34520,36257,31565,38929,31145,28685,32587,35318,30188,28327,25950,33354,32442,40007,34997,36973,29335,36401,39465,35121,39560,33049,38867,33975,35149,30045,30364,31291,32983,73751,80016,73839
"1 h 44 min",,25151,33082,33022,45059,38964,39671,56385,53741,52136,55439,48924,68002,76787,70248,69052,37016,34785,36838,31518,39368,32197,29013,33403,36038,30543,29148,26343,35358,33536,40879,35839,38253,30676,38005,40757,35679,39646,33756,39875,35556,35668,31330,31298,31940,33437,75899,82669,74812
"1 h 46 min",,25085,33588,32228,46415,38833,38828,54796,54313,52784,55340,50172,68187,79310,71991,69969,35935,35983,35448,31111,41092,31825,28370,32945,34388,30816,28795,26758,35710,34548,42002,37202,39895,31429,36389,39444,35058,37161,33248,38259,34962,35685,31085,31579,32877,34689,77580,84470,77538
"1 h 48 min",,25821,33877,33262,46831,39869,39973,54777,54666,53349,58108,50790,70505,81254,74082,72425,37405,36903,36551,32797,41878,32510,29969,33732,36226,31108,29763,26829,36162,33711,42881,37615,40517,31735,37594,40051,35902,38764,33852,38422,35213,36416,32176,32777,33570,35112,80232,87012,79714
"1 h 50 min",,26187,33680,33869,46645,40989,41300,56126,56130,54270,60013,52900,71748,83105,76419,74779,38281,36722,38521,34044,40850,33778,30547,35568,37943,31916,30277,28024,36424,34769,42596,38070,40298,32097,39270,42275,37729,41988,34952,40754,36250,37680,32502,32949,34183,35536,80310,89287,81361
"1 h 52 min",,26615,35226,34307,46939,41394,41667,56943,55412,54672,60497,53183,73112,85479,77699,74936,39011,36482,38643,33265,40857,34743,29956,35002,36421,32687,30240,27713,37680,35707,43299,38795,41409,33096,40167,42439,38231,40532,36252,40899,37116,38214,33214,33519,34372,35994,82046,91659,83566
"1 h 54 min",,27823,35810,34409,48971,41618,41520,56064,58118,56052,61211,55489,75200,87145,79756,77573,38390,37845,39369,33784,44534,35722,32857,38047,40174,32506,32439,29192,39307,35966,44628,39849,42787,33933,38898,42251,41025,41189,35803,40653,37715,38355,33329,34116,34831,37455,84735,92898,85252
"1 h 56 min",,27246,35296,34259,48585,41306,41593,56321,56582,55099,62740,55691,75334,89343,81386,78631,39138,37998,38660,34701,43747,35197,32412,36581,38992,32576,31697,29120,38779,35993,45229,39977,42819,34288,39034,42651,39445,40274,36070,40540,37452,38493,34300,34811,35575,37372,86933,95227,87240
"1 h 58 min",,28199,35997,35461,49535,43070,43228,57842,57334,56513,64549,57453,77401,91579,83930,79952,40910,37136,40836,36193,42804,36912,32162,37962,38763,33285,32557,29436,39370,37958,44604,40525,43232,34049,41184,44333,41260,42714,37438,42657,38894,39791,35030,35260,36759,37991,87135,97916,88417
"2 h",,28031,35481,35404,48724,43032,43070,58573,57767,56314,66707,58489,77603,92807,86127,83037,40643,37329,40359,36659,42518,35576,33238,36850,41318,33624,32652,29897,39723,37280,44937,40920,43620,34851,42058,45139,40558,43164,38285,42914,39003,39845,35437,36112,36852,38655,90637,99071,90096
"2 h 2 min",,29220,36245,36298,49643,44096,44273,60160,59761,58161,68457,61148,78248,94331,86975,83130,42096,38335,41264,37201,43734,36098,32982,37760,40795,33904,33356,30855,40580,38765,45664,41760,44204,34313,42998,47231,40260,43711,39331,43737,40605,41267,36326,36838,37263,39634,92332,101239,92241
"2 h 4 min",,29065,36471,36268,50106,43925,44644,59114,59671,58572,68165,62433,79649,96438,89724,84725,41535,38878,41926,37130,44304,37224,33177,37978,40714,34553,33835,31410,41733,39238,46654,42425,44841,36064,43200,46943,41264,44178,39363,43986,40526,41762,36456,36807,38157,40451,93295,103458,94106
"2 h 6 min",,31202,38659,37832,52102,45385,45541,60598,62596,60795,70115,63789,84064,99384,91410,87647,43754,39020,44639,39166,46611,40607,37391,43513,45667,35241,36961,33142,42974,39680,48119,43152,46326,37788,43980,47981,46920,46677,40232,45807,42543,42499,38025,37752,39013,41013,94575,105852,95668
"2 h 8 min",,30132,38416,37616,51527,45062,45507,60493,62390,60552,72174,63966,83310,102303,94013,89238,44064,38786,43761,38960,45684,38319,37722,41198,46986,35451,36437,31804,44750,41762,47898,44029,46849,37265,45446,49024,44587,45754,40703,45263,43008,42702,38296,38833,39597,41553,96975,108715,97990
"2 h 10 min",,30120,39509,37339,51430,45773,45520,61112,60140,60564,71395,65063,83666,103152,94246,89609,42594,39522,44824,37650,45036,39934,33331,39713,40163,36587,34815,31774,44705,41275,47889,44896,48193,38387,45674,48092,43960,44584,41600,44671,42301,43423,39134,39567,39700,42023,97841,110044,100225
"2 h 12 min",,31417,39301,38018,52573,46890,46422,61814,62812,61731,73596,66435,85176,104892,96336,90162,43826,39751,44846,38928,46233,40007,34967,41602,41919,36420,36819,33091,45975,43953,49169,45502,48460,39228,46421,49976,45070,45282,42098,46837,43486,43965,39654,39954,41063,42683,99856,112238,101769
"2 h 14 min",,31743,39692,38894,53843,47039,47317,62744,63979,62537,77633,67707,88108,107188,98617,93267,45561,40553,45338,41784,47843,41396,39071,44716,47622,36623,38531,34175,45268,42663,49630,45511,49223,39411,46903,51244,48357,48116,43122,47544,44108,44114,40051,39952,41165,43145,101033,115038,103407
"2 h 16 min",,32100,39564,38848,53478,47269,48017,63391,64386,62232,78048,69141,88910,108903,100746,94732,46572,41306,46105,41795,47529,41236,38243,43993,46533,36862,38306,34172,45001,42374,50390,46671,49261,39671,47395,51914,47895,48066,43372,48024,44147,44769,40822,41224,41859,43897,103806,116509,104965
"2 h 18 min",,34294,42091,40288,55437,48476,48716,64311,67937,65728,78819,73190,93090,110577,103646,97552,47184,41427,48791,42733,50222,44733,41669,47682,50661,37922,41096,36723,48201,44392,51323,47622,48950,40922,47501,52517,52496,49628,43887,49939,46166,46927,41411,42354,42617,45272,105779,119490,108283
"2 h 20 min",,32660,40344,40027,54203,48021,49120,64677,66540,63608,81885,70389,90918,112023,103755,98201,47343,41962,47101,42658,49071,42772,40586,46056,48609,37467,39482,34945,47768,43983,50734,47512,49491,40993,48277,53018,50479,49072,44744,48769,45942,45904,42082,42142,43206,44719,106297,120755,108414
