time,protein_concentration,circuit,condition,param_set_idx,log_likelihood
72,40953.860057471866,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
74,41555.16930667109,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
76,42156.47809093959,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
78,42757.78665095034,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
80,43359.09510482285,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
82,43960.403404249555,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
84,44561.71169345142,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
86,45163.01995399638,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
88,45764.32816482438,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
90,46365.63638658168,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
92,46966.94455765905,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
94,47568.25268589107,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
96,48169.56077680344,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
98,48770.868826093254,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
100,49372.17682757435,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
0,20979.730467995745,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
2,21028.77888743994,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
4,21259.24775141115,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
6,21684.06665033405,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
8,22276.00487220665,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
10,23003.203479500644,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
12,23836.82708413511,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
14,24752.69727148452,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
16,25731.298016081902,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
18,26757.254680646216,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
20,27818.664026373033,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
22,28906.43117377176,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
24,30013.67795229479,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
26,31135.248720721007,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
28,32267.31521742515,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
30,33407.04098823907,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
32,34552.327214626064,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
34,35701.64382153141,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
36,36853.87709771791,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
38,38008.21526807934,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
40,39164.064158900306,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
42,40320.9925602249,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
44,41478.6936368828,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
46,42636.95012417325,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
48,43795.6053803925,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
50,44954.54483149195,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
52,46113.685711726044,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
54,47272.96971684633,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
56,48432.355988548916,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
58,49591.815717200516,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
60,50751.32776434587,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
62,51910.87817343604,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
64,53070.453110077135,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
66,54230.04665852009,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
68,55389.650634758545,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
70,56549.262849459206,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
72,57708.880806507324,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
74,58868.5036146635,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
76,60028.13017696315,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
78,61187.75972678065,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
80,62347.39111316437,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
82,63507.02383852514,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
84,64666.65712890796,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
86,65826.29115051925,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
88,66985.92538217602,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
90,68145.55982152425,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
92,69305.19446442493,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
94,70464.82919406731,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
96,71624.46400530677,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
98,72784.0989457321,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
100,73943.73395841604,star_antistar_1,Sense with 10 nM STAR,0,-4.535818164661659
0,20979.730467995745,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
2,21030.1584737791,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
4,21280.10726254387,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
6,21768.983947838213,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
8,22485.99099952953,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
10,23403.567044210886,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
12,24489.25121269834,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
14,25711.353058574114,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
16,27041.5921984753,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
18,28456.046156766966,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
20,29935.183452971105,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
22,31463.454001268256,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
24,33028.70814613115,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
26,34621.590056037385,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
28,36234.9783488701,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
30,37863.50347020777,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
32,39503.148380957646,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
34,41150.92652339281,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
36,42804.63196670056,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
38,44462.6422784797,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
40,46123.776720256814,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
42,47787.171004955206,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
44,49452.189526923234,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
46,51118.37318848184,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
48,52785.394835736464,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
50,54453.01915586112,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
52,56121.076859173045,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
54,57789.43966136977,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
56,59458.01762698181,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
58,61126.74794658815,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
60,62795.58670718398,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
62,64464.504161511904,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
64,66133.479467243,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
