time,Negative,Negative,Negative,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM
2 h 54 min,17852,19551,19706,70111,69929,65024,20299,19635,20058,33261,38988,36070,31405,29663,21128,24151,25793,27365
2 h 56 min,17959,19579,19636,70795,70533,65673,20418,19788,19895,33600,39622,36422,31393,29987,21448,24122,26287,27288
2 h 58 min,17945,19410,19987,71194,71296,66251,20487,19998,20102,33922,39664,36391,32013,29804,21234,24390,26230,27606
3 h ,17940,19384,19868,72880,72134,66865,20309,19809,20231,34257,39979,36905,32032,30028,21516,24312,26094,27533
3 h 2 min,17796,19446,19761,73068,72758,67825,20258,20275,20264,34550,40290,37260,32222,30389,21349,24250,26580,27853
3 h 4 min,18094,19739,19651,73496,73412,68215,20531,20011,20242,34907,41108,37412,32177,30826,21589,24102,26780,28197
3 h 6 min,18077,19502,19745,74816,74256,69185,20722,20287,20466,34607,41606,38151,32348,30640,21489,24417,26908,28005
3 h 8 min,17967,19628,19816,75674,75183,69952,20651,20271,20591,35187,41674,38076,32986,30750,21735,24488,26825,28698
3 h 10 min,17789,19646,19905,76536,76097,70275,20535,20535,20633,35325,42164,38656,33279,31200,21919,24449,26939,28587
3 h 12 min,18063,19405,19866,77178,76327,71356,21001,20346,20730,35435,42479,38810,33059,30962,21715,24690,27139,28898
3 h 14 min,17807,19584,19971,77596,76985,71544,20897,20436,20711,35993,42715,39137,33383,31567,21883,24495,27103,28946
3 h 16 min,17824,19792,20029,78404,77415,72566,21175,20545,20579,35806,42730,39228,33328,31929,21824,24628,27670,28871
3 h 18 min,17831,19486,19718,79410,78208,73058,20927,20588,20752,36307,43284,39514,34014,31653,21760,24615,27532,29209
3 h 20 min,17764,19517,19783,79831,78630,73413,20850,20407,20747,36391,43833,39431,33802,31628,21712,24804,27618,29265
3 h 22 min,17875,19596,20079,80635,79677,74418,21069,20598,20953,36419,43702,40341,34185,32453,21923,24871,27627,29775
3 h 24 min,17867,19718,19823,81131,80555,75145,21061,20788,20983,36900,44424,40277,34251,32068,21966,24680,27592,29962
3 h 26 min,17969,19965,20001,82141,81249,75910,21414,20858,20677,37486,44849,40802,34651,32695,22127,24836,27779,29702
3 h 28 min,17837,19866,19758,82614,81216,76443,21165,20652,20956,37780,44701,40590,34639,32681,22178,24403,28226,29930
3 h 30 min,17891,19840,19860,83091,81933,76759,21497,20808,21221,37778,45615,41509,34713,33063,22035,24808,28328,30423
3 h 32 min,18071,20079,20104,83706,82450,77518,21534,20901,21231,37632,45555,41160,35165,33417,22364,24979,28435,30329
3 h 34 min,17938,20026,19882,84139,83699,77995,21491,20964,21307,38144,45592,42002,34911,33563,22133,24946,28508,30551
3 h 36 min,18115,19791,19973,85448,83958,78646,21611,21089,21273,38381,45638,41737,35477,33730,22204,24991,28466,30449
3 h 38 min,18056,20051,19983,85899,84978,79437,21461,21094,21295,38500,47003,42129,35770,33442,22401,25296,28673,30419
3 h 40 min,18258,19760,19980,87105,85995,80109,21948,21453,21023,39115,46807,42512,35857,33817,22477,25315,28578,31016
3 h 42 min,18102,19925,20084,86741,86187,80660,21670,21278,21484,39187,47080,42680,35689,34305,22434,25166,28654,30963
3 h 44 min,18103,20282,20021,88020,86677,80747,21713,21115,21478,39022,47840,42944,36423,34002,22291,25234,28786,30854
3 h 46 min,18058,20246,20055,88195,87836,82017,22021,21083,21480,39596,47899,43332,36370,34126,22273,25207,28989,31178
3 h 48 min,17978,19992,20078,88392,88153,81802,22047,21266,21482,39770,48228,43119,36387,34305,22369,25542,29166,31572
3 h 50 min,17819,20158,19758,89602,88188,83067,21848,21578,21806,39886,48227,43441,37066,34741,22605,25330,29362,31622
3 h 52 min,17933,20102,20073,90637,89008,83663,22229,21562,21814,40389,48841,43768,36608,35203,22795,25524,29262,31782
3 h 54 min,18050,20043,20276,90831,89639,83701,22054,21683,21942,40748,49170,44056,37287,34725,22752,26060,29755,32020
3 h 56 min,17654,19828,20119,90904,90569,84687,22251,21522,21989,40435,49598,44712,37223,35562,22739,25992,29502,31809
3 h 58 min,17864,20277,19727,92414,91108,85492,22150,21740,21910,40749,49537,44723,37315,35109,22874,25962,29952,31898
4 h ,17958,20041,20083,92978,91219,85927,22209,21803,22098,40918,49852,44947,37461,35507,22764,25919,29929,32330
4 h 2 min,18166,20185,20102,93672,91568,85511,22357,22154,22140,41209,50227,44999,37657,35953,22791,26065,30258,32287
4 h 4 min,17609,20150,20206,93947,92136,86811,22513,22014,22159,41678,50373,45071,37971,35849,22924,25656,30291,32296
4 h 6 min,17929,20158,20413,94981,92781,86576,22380,21908,21934,42037,50894,45502,38029,35876,22880,25985,29922,32643
4 h 8 min,18021,20123,20203,94913,93144,88232,22570,21887,22249,42128,51180,45595,38122,36375,22857,25954,30172,32393
4 h 10 min,17754,20226,20258,95679,93564,88523,22342,21915,22149,42327,51556,46162,38516,36429,22901,26140,30206,32584
4 h 12 min,17956,20248,20437,96530,95268,87982,22692,22072,22326,42162,51951,46226,38502,36728,23115,26016,30250,33138
4 h 14 min,17882,20311,20218,96647,95077,89739,22385,22110,22391,42515,52166,46212,38713,36502,23189,26409,30275,32750
4 h 16 min,18070,20547,20025,97169,96226,89787,22586,22146,22453,42568,52406,46894,39418,37218,23031,26000,30410,32991
4 h 18 min,17886,20259,20152,97884,95825,90145,22662,22116,22235,42955,53008,46755,39074,37264,22861,26180,30500,33267
4 h 20 min,17849,20308,20224,98915,96760,90759,22835,22230,22658,43277,52824,47217,39498,37245,23057,26469,30339,33564
4 h 22 min,17953,20148,20680,98863,96548,91023,23079,22418,22351,43340,53703,47654,39551,37456,23130,26237,30638,33694
4 h 24 min,17843,20334,20501,98761,97292,91629,22701,22283,22319,43674,53467,47438,39745,37331,23415,26721,30941,33953
4 h 26 min,18027,20281,20400,100135,97763,92001,23063,22229,22506,43567,54297,47793,39842,37622,23377,26530,30759,33449
4 h 28 min,17933,20240,20273,100436,97863,92667,22712,22256,22506,44045,54109,47991,40101,37794,23449,26705,31156,34068
4 h 30 min,17604,20190,20133,100621,99176,93250,22853,22232,22948,44329,54670,48319,40068,37909,23155,26690,30731,34017
4 h 32 min,18057,20458,20113,101432,99141,94380,22923,22254,22562,44259,54486,48414,40107,38302,23449,26612,30859,34173
4 h 34 min,17736,20311,20658,101709,100501,94101,23188,22825,22902,44467,55510,48753,40237,38110,23492,26943,31220,34024
4 h 36 min,17668,20465,20016,101431,100628,94314,22981,22407,22978,44645,55708,48746,40702,38023,23313,26724,31103,34546
4 h 38 min,17571,20318,20316,102867,100973,94282,23502,22727,22899,45068,55713,49466,40521,38968,23653,26979,31022,34380
4 h 40 min,17579,20460,20305,103279,101956,94841,23492,22588,23094,45252,56111,49379,40515,38448,23662,26871,30914,34821
4 h 42 min,17857,20515,20289,104102,101529,96034,23336,22549,23211,44982,56106,49154,40844,39039,23565,27016,31066,34719
4 h 44 min,17974,20359,20499,103596,101962,96344,23162,22775,23137,45258,56791,49533,41061,38966,23676,26630,31114,35231
4 h 46 min,17645,20379,20568,104892,102888,96504,23398,22555,23197,45564,57059,50060,41386,39426,23600,26913,31106,35058
4 h 48 min,17585,20351,20617,106005,103910,96701,23547,22549,23328,45839,57276,50395,41539,39142,23585,26851,31601,34897
4 h 50 min,17770,20611,20376,105549,104337,97327,23314,22758,23193,45749,57046,50594,41126,39187,23724,26924,31287,35108
4 h 52 min,17552,20289,20364,105856,103892,97649,23200,22702,23181,46101,57582,50425,41637,39336,23744,27196,31239,35317
4 h 54 min,17670,20600,20297,106695,104471,98613,23522,22942,23142,46071,58124,50679,41821,39642,23723,26946,31022,35770
4 h 56 min,17731,20391,20467,106945,105286,99493,23388,23056,23130,46380,58181,51090,41784,39676,24015,26759,31137,35367
4 h 58 min,17596,20476,20300,107273,105959,99037,23429,23075,23229,46296,58606,50736,42111,39713,23830,27230,31560,35550
5 h ,17470,20451,20608,107898,105541,99253,23757,22935,23242,46714,58846,51225,42177,40104,23766,27011,31282,35744
5 h 2 min,17472,20573,20607,107849,106158,99857,23769,22834,23464,47139,59645,51594,42300,40356,24192,27245,31448,35755
5 h 4 min,17727,20617,20606,108979,106383,100093,23815,23585,23462,46647,59640,51507,42396,40308,24014,27277,31708,36080
5 h 6 min,17434,20333,20539,109123,107755,100333,23772,23271,23369,47176,60117,52094,42868,40741,24172,27145,31426,35956
5 h 8 min,17274,20422,20425,109182,107204,100816,23730,23079,23387,47294,60218,51936,43037,40453,24285,27277,31443,36214
5 h 10 min,17557,20497,20476,110028,107156,101220,23749,23133,23858,47826,60315,52202,42876,40836,24213,27185,31679,36466
5 h 12 min,17497,20479,20563,110516,107978,101208,23783,23119,23484,48186,60287,52614,43045,40695,24348,27411,31560,36366
5 h 14 min,17278,20478,20454,110690,108547,101456,23679,23527,23709,48123,60814,52166,43410,41029,24420,27506,31511,36242
5 h 16 min,17256,20280,20361,111410,109045,102439,23799,23352,23917,47739,60714,52609,43360,40980,24552,27502,31682,36307
5 h 18 min,17324,20596,20470,111825,109703,103363,23912,23179,23868,48695,61393,53029,43504,41206,24485,27252,31993,36410
5 h 20 min,17141,20484,20546,112152,109412,103690,23805,23220,23509,47914,61725,52963,43810,41423,24618,27456,31642,36932
5 h 22 min,17257,20655,20582,112674,110092,103398,23969,23438,23550,48725,61551,53181,43503,41937,24255,27598,31687,36885
5 h 24 min,17155,20264,20367,112869,110295,103839,24077,23674,23974,48639,62283,53423,43573,41768,24491,27430,31492,36860
5 h 26 min,17074,20448,20500,112403,110698,104665,23954,23550,23727,48557,62691,53447,43980,41672,24653,27193,31515,36756
5 h 28 min,16986,20486,20709,112893,111032,104346,23912,23629,23703,49033,62270,53952,44125,41316,24527,27477,31713,36712
5 h 30 min,17192,20391,20515,113314,111665,104759,23895,23905,23969,49357,62905,54484,44104,42087,24866,27528,31123,37026
5 h 32 min,17103,20494,20356,113751,111449,104875,23954,23679,24023,48908,63447,54195,44065,41676,24666,27512,31431,37391
5 h 34 min,17023,20628,20366,114057,112526,105701,23966,23687,23638,49302,63853,54291,44956,42288,24909,27601,31137,36960
5 h 36 min,16963,20480,20496,115282,112880,105197,24270,23584,24029,49427,63925,54639,44751,42629,24885,27566,31305,37172
5 h 38 min,16945,20417,20509,115419,112880,105940,23963,23735,23921,49604,64373,54745,44776,42427,24859,27301,31553,37687
5 h 40 min,16877,20349,20340,115143,112618,106138,24303,23790,23936,49998,63970,54731,44842,42435,24853,27382,31130,37334
5 h 42 min,17111,20468,20621,115626,113300,106204,24434,23773,23927,49999,64230,54787,44831,42534,24841,27270,31084,37484
5 h 44 min,16883,20409,20358,116436,113691,106817,24272,23963,24195,50018,64997,55146,45001,42378,24656,27495,31141,37363
5 h 46 min,16618,20488,20349,116082,114358,107135,24111,23664,23899,50308,64989,55675,44847,42931,25068,27406,31272,37486
5 h 48 min,16628,20486,20615,116292,114665,107358,24350,24031,23849,50261,65155,55392,45119,42702,25035,27831,31004,37467
5 h 50 min,16639,20489,20367,116398,114434,107922,24292,23616,24073,50394,65674,55705,45209,42869,24707,27495,31231,37978
5 h 52 min,16805,20626,20564,116848,115202,108396,24248,23944,24179,50163,65410,55386,45818,43146,25008,27567,31152,37845
