time,Negative,Negative,Negative,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM
1 h 56 min,16149,16588,17098,24689,25083,25847,22924,23249,22845,24687,23389,23313,23378,22648,20835,20256,20301,19397,21013,21707,22524,20742,19461,22005,21279,22279,22786,20958,23175,23001,29093.5,30397.5,28196
1 h 58 min,16195,16933,17105,25196,25320,25966,23384,23636,23248,25154,23558,23149,23354,22725,21126,20260,20115,19479,21142,22019,22728,20681,19773,22020,21310,22578,22801,21252,23230,23236,29496,30832.5,28863.5
2,16238,17146,17019,25128,25818,26061,23552,23545,23146,25377,23816,23568,23212,23049,21212,20551,20465,19511,21310,22094,22512,21066,20096,22147,21598,22473,23187,21238,23469,23665,29985.5,31461.5,29233
2 h 2 min,16525,17106,17142,25720,26009,26268,23712,24098,23282,25506,24145,23696,23513,23291,21537,20587,20590,19776,21727,22548,23240,20860,19872,22607,21867,22830,23260,21660,23869,23695,30583,31926.5,29537
2 h 4 min,16484,17237,17327,26076,26162,26817,24008,24029,23716,25844,24426,23881,23795,23202,21675,20874,20580,19932,21724,22629,23352,21392,20074,22805,22025,22905,23651,21619,23854,23870,30669,32450,30111.5
2 h 6 min,16262,17131,17125,26610,26444,27375,24319,24666,23973,25877,24537,23928,24273,23792,21956,20864,20777,20306,21960,22588,23488,21272,20364,22704,22324,23070,23678,21859,24401,24325,31483.5,33011,30395
2 h 8 min,16537,17288,17291,26779,26735,27378,24522,24835,24217,26448,24731,24387,24179,23865,22036,21137,20962,19947,22487,23108,23607,21430,20492,23132,22200,23373,24020,22249,24620,24513,31884.5,33229,30909
2 h 10 min,16624,17415,17486,26975,27271,27976,24842,24611,24571,26360,24683,24450,24196,23772,22302,21116,20865,20282,22250,23247,23876,21591,20487,23264,22468,23580,23738,22347,24438,24568,32529.5,33679.5,31466.5
2 h 12 min,16587,17408,17130,27449,27421,27985,24846,25280,24568,26592,25363,24748,24591,24400,22450,21274,21042,20527,22347,23503,23807,21674,21033,23472,22710,24181,24189,22517,24995,24881,33017.5,34340.5,32024
2 h 14 min,16609,17328,17466,27660,27724,28560,25256,25377,24898,27008,25643,24751,24736,24380,22719,21223,21470,20628,22548,23679,24179,22140,20663,23468,22725,23710,24621,22644,25105,25533,33166,35003.5,32591.5
2 h 16 min,16657,17175,17526,28027,27582,28306,25538,25642,25162,27078,25693,24959,25045,24569,22867,21730,21347,20769,22780,23538,24504,21774,21025,23749,23103,24353,24528,22665,25440,25686,33724,35682,32812
