time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
3 h 22 min,40269,36036,41022,36545,39238,38716,34144,31178,30746,27366,26921,27283,25066,25206,25152,21337,22404,23978,19099,20173,19849,18134,18891,19628
3 h 24 min,40662,36427,41587,37151,39403,39481,34223,31693,31192,27461,27341,27678,25651,25456,25596,21409,22639,23850,18828,20342,20089,18120,18930,19412
3 h 26 min,41181,36722,41878,37476,39966,39592,34817,31970,30857,27873,27527,27510,25623,25484,25323,21615,22428,24209,19297,20156,20250,18336,19114,19582
3 h 28 min,41807,36749,42339,37832,40534,39771,35015,31729,31529,28036,27649,28137,25524,25501,25750,21832,23052,24382,19415,20305,20090,18602,19256,19779
3 h 30 min,42193,37622,42604,38397,40919,40108,35039,32460,31400,27982,27560,27966,26030,25638,25731,21930,23168,24314,19386,20118,20708,18519,19448,19982
3 h 32 min,42259,37613,43103,38750,41469,40837,35636,32468,32072,28307,27950,28659,26086,25872,25912,21812,23128,24305,19298,20333,20310,18664,19159,19777
3 h 34 min,42643,38465,43648,38689,41280,41544,35923,32977,31995,28429,28109,28276,26191,26012,26132,21953,23411,24539,19423,20370,20288,18625,19460,19999
3 h 36 min,43466,38425,43311,39405,42195,41533,35942,33384,32462,28796,28465,28562,26104,25868,26396,22184,23298,24595,19436,20519,20546,18617,19192,19865
3 h 38 min,43886,38774,44402,39929,42055,41728,36321,33280,32885,28699,28730,28764,26260,26190,26650,22362,23315,24921,19417,20446,20578,18814,19443,19985
3 h 40 min,44213,39203,44822,39860,42642,42119,36759,33405,33119,28955,28766,29185,26481,26266,26662,22047,23306,24988,19548,20568,20504,18414,19640,20123
3 h 42 min,44067,39254,44851,40024,43236,42369,36778,34362,33038,29254,28870,29155,26647,26564,26692,22295,23665,25006,19505,20710,20359,18775,19725,20085
3 h 44 min,44818,40040,45369,40652,43244,42459,37416,34059,33439,29404,28742,29435,26886,26427,27016,22513,23494,24904,19600,20860,20261,18830,19653,20201
3 h 46 min,45080,40166,45705,40561,43526,43459,37564,34406,33743,29810,29281,29183,27129,26668,27063,22649,24024,24996,19898,20886,20735,18991,19972,20065
3 h 48 min,45775,40625,46582,41118,44009,43288,37718,34460,33968,29575,29477,29634,27199,26830,27377,22610,23670,25187,19884,21198,20706,18911,19954,20284
3 h 50 min,46319,41089,46544,41201,44243,44559,37953,34942,34459,30106,29772,30067,27267,27154,27640,22717,24132,25240,20002,21012,20516,19414,19903,20357
3 h 52 min,46641,41152,47298,41835,45028,44452,38424,35498,34781,30104,29872,30004,27241,26884,27589,23051,24287,25211,19966,20936,20709,19107,20031,20502
3 h 54 min,47259,41636,47398,41992,45340,44976,38945,35738,34994,30369,30271,30475,27334,27403,27823,22968,24349,25638,19976,21061,20870,19196,20011,20567
3 h 56 min,47327,42014,48070,41984,45423,45463,38729,36108,35315,30659,29922,30571,27541,27314,27833,22943,24534,25592,20171,21122,20795,19247,20217,20776
3 h 58 min,47880,42354,48410,42454,46588,45992,39194,36194,35568,30618,30310,30370,27781,27682,27869,23438,24098,25683,20030,21192,20960,19631,20001,20393
4h,48569,42925,48657,43491,46278,45577,39602,36327,35594,30618,30703,31014,27901,27940,27975,23102,24471,25913,20445,21192,20798,19730,20318,20505
4 h 2 min,48261,42933,49128,43299,46882,45978,40067,36548,35881,31264,30829,30937,28253,28076,28287,23542,24248,26027,20008,21197,21315,19934,20313,20671
4 h 4 min,49088,43688,49764,43553,47255,46663,40343,37068,36517,30823,31104,31454,28509,27858,28277,23750,24198,25775,20440,21677,21116,19654,20058,20709
4 h 6 min,50020,43804,50152,43588,48050,46474,40448,37557,36330,31259,31291,31417,28423,28280,28417,23337,24562,25980,20435,21441,21173,19680,20478,20836
4 h 8 min,49482,44354,50667,44146,48180,47478,40838,37748,36873,31756,31409,31638,28692,28230,29073,23880,24776,26289,20319,21504,21447,19841,20262,21012
4 h 10 min,50454,44383,51050,44672,48131,47557,41436,37742,37292,31837,31367,31768,28900,28339,29101,23737,24442,26271,20319,21547,21304,19948,20278,21087
4 h 12 min,51034,45002,51230,44708,48692,48151,41472,38102,37759,31716,31619,31995,28733,28806,29316,23689,24975,26280,20294,21498,21385,20044,20476,21030
4 h 14 min,51268,45243,51874,45381,48742,48517,41591,38646,37390,32027,31873,32439,29213,28817,29297,23783,24972,26334,20139,21581,21488,19968,20719,21095
4 h 16 min,51641,45852,52031,45757,49840,49262,41865,38686,37806,32101,32392,32163,29142,28915,29323,24020,24868,26604,20434,21717,21680,20076,20776,21195
4 h 18 min,52450,46140,52025,46172,50433,49369,42522,38889,38333,32184,32244,32443,29096,29155,29409,24163,25042,26459,20600,21705,21678,20171,20515,21313
4 h 20 min,52845,46706,53356,46547,50383,49646,42522,39408,38701,32599,32712,32541,29511,29113,29633,24094,25569,26267,20582,21802,21366,20088,20637,21146
4 h 22 min,53407,46724,53689,47013,50837,50160,42651,39682,38751,32511,32849,33153,29851,29390,29774,24357,25280,26598,20741,21730,22003,20236,20963,21457
4 h 24 min,53515,47654,54226,47423,51385,50824,43006,40027,39081,33369,32771,33131,29361,29619,29748,24493,25019,26585,20711,21653,21599,20236,20722,21581
4 h 26 min,54334,47543,54724,47882,51821,51050,43214,40361,39897,33101,33151,33292,29619,29973,30203,24497,25350,27193,20618,21694,21934,20326,20853,21719
4 h 28 min,54833,47834,55374,48259,52160,51715,44119,40814,39778,33675,33248,33463,29663,29750,30139,24631,25465,27206,20981,22104,21930,20201,20943,21472
4 h 30 min,55329,48240,56457,48521,52682,51822,43991,40959,39824,33306,33320,33942,30075,29909,30373,24537,25715,26932,20815,21864,21888,20618,21008,21934
4 h 32 min,55697,49744,56970,48720,53152,52373,44590,41722,40153,34014,33616,33835,30418,30162,30461,24497,25608,27071,20960,21836,22126,20532,20944,22026
4 h 34 min,56154,49346,57413,49230,53541,52632,44967,41528,40461,33609,33865,33988,30473,30101,30603,24878,25992,27346,20996,22261,22184,20631,21032,21834
4 h 36 min,56739,50080,57830,49744,54128,53144,44852,41425,40716,33894,33946,34671,30396,30351,30746,25184,26027,27391,20823,22487,21993,20670,21074,22087
4 h 38 min,57358,50322,58850,50274,54684,53955,45548,42026,40924,34268,34250,34283,30388,30314,31022,25087,26184,27608,21011,22397,22142,20766,21043,22200
4 h 40 min,57783,50873,58226,50745,54801,54312,45936,42474,41188,34514,34378,35005,30862,30393,31017,25075,26216,27416,20980,22475,22231,20583,21226,22060
4 h 42 min,58736,51459,59165,51161,54764,55059,46586,42282,41883,34934,34799,34635,31255,30481,31274,25240,26497,27673,21353,22542,22159,20811,21196,22328
4 h 44 min,58771,51497,59697,51894,55293,54634,46167,42930,41889,34910,35163,34702,30900,30909,31147,25149,26522,27701,21632,22694,22586,20987,21428,22331
4 h 46 min,59529,51902,60980,51812,56447,55579,46893,43475,42446,35159,35032,35428,30982,31028,31358,25229,26736,27787,21441,22736,22454,20739,21661,22179
4 h 48 min,59542,52319,61003,52421,56524,56260,47760,43572,43124,35204,35202,35521,31382,31039,31928,25801,26458,27831,21377,22598,22900,20860,21351,22434
4 h 50 min,60251,52753,61639,52952,56946,56764,47732,44188,42741,35464,35304,35867,31601,31365,32114,25695,26765,27977,21430,22842,22795,21005,21546,22501
4 h 52 min,60561,52809,62020,53371,57508,56967,47806,44458,42893,35946,35525,35927,32128,31427,32313,25592,27357,27959,21663,23000,22963,21052,21715,22344
4 h 54 min,60972,53604,62664,53849,58062,57842,48399,44973,43339,35473,36009,36189,32052,31922,31947,25706,27079,28052,21891,22924,22645,21021,21894,22537
4 h 56 min,61759,54115,63632,54133,58156,57977,48673,44981,44005,35910,35984,36483,32610,31760,32377,25927,27261,28479,21679,23034,22930,21087,21907,22398
