time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
4 h 12 min,61586,61172,65690,67005,63157,62877,62563,62738,55702,52583,60100,53428,41358,40037,38943,30037,37539,36082,28342,30847,27443,21190,20960,21602
4 h 14 min,61567,60729,66195,68050,63166,63122,63397,63074,56031,52485,60756,53952,41119,40198,39194,30374,37394,36734,28559,30669,27726,21220,20973,21615
4 h 16 min,61622,61049,66717,67929,64558,63423,63849,63827,56426,52849,60880,54389,41532,40050,39294,30116,37958,36753,28420,30877,27933,21015,20740,21961
4 h 18 min,62407,61915,66614,68751,64376,63843,64074,64167,56655,53650,61420,55264,42109,40522,39740,30127,38341,36848,28800,30869,28328,21153,20779,21750
4 h 20 min,62399,61727,66717,69171,65038,64124,64689,64620,56986,54049,62156,55225,42194,40716,39862,30091,38501,36824,28881,31234,28275,21259,21027,21733
4 h 22 min,62703,62110,67310,69014,65355,64184,65136,64876,57565,54637,62470,55146,42261,41065,40206,30410,38809,37603,28976,31310,28307,21441,20947,21708
4 h 24 min,63394,62363,67699,70320,65750,64682,65504,65499,57936,55218,62702,56407,42733,41261,40048,30700,38763,37557,29154,31343,28275,21393,20869,21758
4 h 26 min,64131,62367,67955,70022,66076,65341,65729,65838,58093,56009,63512,56174,43156,41340,40784,30669,39202,37696,29190,31432,28883,21637,20728,22189
4 h 28 min,63965,63057,67986,71189,67072,65600,66068,66694,59061,56208,63687,57213,42933,41759,41064,30782,39494,38106,29281,31779,28725,21568,21120,22293
4 h 30 min,64235,63232,68590,71584,67369,66090,66780,67203,59516,56042,64070,57549,43590,41620,41325,30960,39483,37642,29544,31495,29125,21555,20837,21829
4 h 32 min,64519,63527,68892,71496,68071,66677,67693,67605,59640,56720,65163,57680,44062,42350,41499,31273,39260,38339,29174,31807,29209,21919,21297,22360
4 h 34 min,64467,63408,69399,72245,68262,66923,67797,68299,59773,57276,65382,58524,43837,42236,41468,30847,39768,38430,29758,31922,29592,21537,21188,22439
4 h 36 min,64863,64331,69606,72820,68796,66808,68276,68486,60090,57979,65935,58318,44466,42747,41994,30989,39979,38354,29953,31714,29161,21630,21248,22401
4 h 38 min,65133,63959,69516,73231,69065,67286,68824,68655,60568,58135,66029,58845,44624,42925,41979,31085,40420,38700,29939,32029,29589,21740,21394,22603
4 h 40 min,65520,64536,70082,73996,69871,67871,69235,69547,61147,58656,66114,59244,44633,43152,42206,31628,40013,38913,29981,32173,29553,21904,21276,22841
4 h 42 min,66471,64717,70570,73879,70122,68480,69748,69430,61309,58504,66656,59928,45500,43601,42890,31444,40585,38868,29801,32038,29591,21970,21879,22624
4 h 44 min,65915,64616,70342,74067,70195,68665,70049,70024,61604,59154,67241,60243,45537,43298,42984,31496,40376,39090,30179,32295,30107,21968,21773,22983
4 h 46 min,65892,64841,70462,74506,70786,69096,70418,70771,62114,59761,68212,60434,45619,43751,43160,31341,40492,39590,30505,32443,30043,21829,21509,22690
4 h 48 min,66975,65585,71061,75544,71410,69586,71544,71150,62911,60219,68722,61113,45669,43989,43415,31821,40887,39425,30580,32228,29930,21882,21656,22686
4 h 50 min,67264,65936,71873,75752,71382,70064,71366,71233,62933,60322,69123,60983,46313,44257,43565,31505,41276,39176,30355,32664,29904,22084,21888,23001
