time,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5,To3 5,To3 5,Negative,Negative,Negative
4 h 20 min,134580.5,134322.5,133795,116247.5,118037,111959.5,107253,96268.5,105640.5,76111,74684,80908.5,79672.5,74072.5,84772.5,34957,28836,28542,21259,21027,21733
4 h 22 min,135991.5,134796.5,134708.5,116804.5,118391,112652,107866.5,96156.5,105621.5,76429,75037.5,81751.5,80501.5,74626.5,85007.5,35480,28710,28542,21441,20947,21708
4 h 24 min,136723.5,136388,135914,117046.5,120173,113309,109083.5,96347.5,105823.5,77162.5,75332,82480,81749.5,74833,85711,35470,28586,28852,21393,20869,21758
4 h 26 min,138070,137407.5,137070.5,119331,119789,114067.5,110010.5,96417,106331,77531,75722.5,82997,81947.5,75406.5,85775.5,35872,29262,28713,21637,20728,22189
4 h 28 min,138911.5,138152,138056.5,119498,122307,114859.5,110591,96578.5,106988,78509.5,76460,83135,82504.5,75442.5,86242,35889,29188,29022,21568,21120,22293
4 h 30 min,140278,139419.5,138615,120535.5,122827,115278,111552,96698.5,107417,78824.5,77004,83807.5,83100.5,75816.5,86860,35938,29014,28885,21555,20837,21829
4 h 32 min,141330,140206.5,139540.5,121493.5,123982,116215,112654,96966.5,107056,79081.5,76786.5,84392.5,83899.5,76005,86975,35900,29385,29081,21919,21297,22360
4 h 34 min,143134,141466.5,140972.5,122599.5,124506,117883,113197.5,97303.5,108149.5,79784,77683.5,84768,84440,76766.5,87326.5,35954,29134,28840,21537,21188,22439
4 h 36 min,143705.5,142795,141614.5,123851.5,125450.5,117395,114137.5,97361.5,108283.5,80215.5,78229.5,85370.5,84948,77007.5,87612,36202,29410,29812,21630,21248,22401
4 h 38 min,144319.5,143603,142569.5,124084,125988,119008,115269,97938,108308,80683,78863.5,85746.5,85567,77557,87750,36092,29325,29237,21740,21394,22603
4 h 40 min,145999.5,144807.5,143412,124914.5,126860,119344,116075.5,97295,108935.5,81657,79253.5,86362.5,86150.5,78153,88592,36526,29762,29650,21904,21276,22841
4 h 42 min,146648,145868,144871.5,125836.5,127707.5,120808.5,118123,97529,109212,81740,79993,86922,86804,78831.5,88999,36465,29647,29790,21970,21879,22624
4 h 44 min,147489,146952.5,145764,126628.5,128835.5,120978,117654.5,97455,109405.5,82315,80214.5,87859.5,87290.5,78891.5,88853,36585,29730,29571,21968,21773,22983
4 h 46 min,149000.5,148034.5,146100,128040.5,129825.5,121525,119662,98003,109958,83078.5,80448,87931.5,87938,79499.5,89282.5,36798,29705,29558,21829,21509,22690
4 h 48 min,150025.5,148922,147135,128977,130317,122099,120214,97661,110340.5,82913,81211,88510.5,88367.5,79687,89613,36535,29938,29854,21882,21656,22686
4 h 50 min,150919,149676,148126,130035,131041.5,122433.5,121522,97840,110398,83825,81534,89215,89058.5,80393,90044.5,36859,30221,29878,22084,21888,23001
4 h 52 min,152584.5,151493,149047.5,130535,131828.5,123502,122135,97669.5,110600,84308.5,82278.5,89207,90004.5,80369.5,90538,36706,29900,29833,21921,21767,22711
4 h 54 min,153230,152254,149788,130925,132630,123907,123146,98176.5,111098,84229,82590.5,90301,90259,80306.5,90750,36573,30081,29912,22116,21428,22901
4 h 56 min,153919.5,153210.5,150399,131675.5,133081.5,124306.5,124042.5,98080,111256,85211,83097.5,90391.5,90721.5,81179.5,90871.5,36897,30134,30167,22321,21675,22877
4 h 58 min,154576.5,154444.5,151941,132206.5,134323.5,124792,125063,97876,111433,85533.5,83410.5,90894,91337.5,81167,91125,36783,30251,29803,22097,21688,23059
5 h ,156198,154772.5,152291.5,133659.5,134763.5,124921,126183.5,98511,112256.5,86372.5,83860.5,91128,91931,81696,91413,37157,30270,30078,22308,21661,23018
5 h 2 min,156555.5,156602.5,152918.5,134499,135520.5,126175.5,126724,97949.5,112289.5,86948.5,84147,91654.5,92483.5,81914.5,91286,37285,30642,30057,22272,22220,23159
