time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM
4 h 22 min,21441,20947,21708,78624,79392,77594,35971,37763,38733,35586,33349,39018,40852,42374,44207,42339,47409,47539
4 h 24 min,21393,20869,21758,79062.5,80096,78046.5,36317,37667,39132,35804,33267,39348,40972,42725,44728,42439,47741,48148
4 h 26 min,21637,20728,22189,79951.5,80578.5,78777,36098,38039,39429,35930,33222,39593,41038,42868,44944,42567,48360,48477
4 h 28 min,21568,21120,22293,80465.5,81183,79358,36556,38796,39743,36599,33549,39715,41785,42866,44928,43194,48483,48449
4 h 30 min,21555,20837,21829,81205,82043,79736,36397,38777,39790,36394,33629,39908,41787,43473,45249,43359,49079,48893
4 h 32 min,21919,21297,22360,81503.5,82954.5,80640.5,36790,38841,39640,36385,33873,40532,41959,43240,45792,43228,48601,49779
4 h 34 min,21537,21188,22439,82645,83431,81137.5,36819,38792,39999,36743,34020,40269,42236,43698,46044,43683,49522,49517
4 h 36 min,21630,21248,22401,82907,84043,81835,36792,39338,40616,37423,34043,40957,42462,44648,46003,44057,50222,50102
4 h 38 min,21740,21394,22603,83538.5,84683,82747,37366,38891,40882,37305,34236,40794,42707,44645,46608,44326,50061,50360
4 h 40 min,21904,21276,22841,84648.5,85257.5,83345,37374,39603,40722,37395,34301,40995,42524,44724,47034,44488,50274,50880
4 h 42 min,21970,21879,22624,85132,86045,83950.5,37325,39439,40849,37528,34920,41323,42901,45464,47185,44824,50452,51041
4 h 44 min,21968,21773,22983,85594.5,86832,84745.5,37531,39891,40672,38344,34920,41543,43440,45086,47402,45327,51212,51264
4 h 46 min,21829,21509,22690,86102,87211,85304,38002,39702,41259,38474,34836,41529,43757,45700,47453,45741,50911,51904
4 h 48 min,21882,21656,22686,86925.5,87993,85969,37863,39929,41061,38781,35451,42220,44090,46096,47834,45668,51389,52139
4 h 50 min,22084,21888,23001,87588,88682,86719.5,37869,40344,41396,38798,35426,41816,44435,46016,48104,46388,51788,52580
4 h 52 min,21921,21767,22711,88096.5,89265.5,87487.5,38368,40322,41582,39252,35513,42063,44883,46154,48129,46790,52008,52245
4 h 54 min,22116,21428,22901,89044.5,89822,87704.5,38372,40557,41943,39318,36228,42390,45299,46657,48453,46559,52492,52515
4 h 56 min,22321,21675,22877,89437.5,90820,88232,38459,40660,42310,39575,36557,42470,45695,47184,49128,46934,52785,53120
4 h 58 min,22097,21688,23059,90180.5,91238,89171,38925,40949,42095,39826,36946,42772,46091,47612,49110,47314,53269,53235
5,22308,21661,23018,90816.5,91641.5,89692.5,38968,41032,42604,39764,37026,42919,46140,47642,49873,47771,53005,53423
5 h 2 min,22272,22220,23159,91520.5,91991,90160.5,39442,41223,42445,40111,37406,43146,46040,47504,50145,48135,53148,53794
5 h 4 min,22303,21851,23297,91886,92889.5,90902.5,39373,41082,42681,40372,37464,43005,47037,48364,50163,48058,53664,54178
5 h 6 min,22183,21810,22882,92587.5,93347.5,91620.5,39501,41338,43060,40689,37588,43251,47001,48348,50394,48783,54338,53999
5 h 8 min,22307,22223,23104,92942,93704,92246,39887,41469,43083,40940,37766,43289,47271,48311,50384,49000,53940,54468
5 h 10 min,22245,22293,23370,93626,94635.5,92747.5,39718,41810,43416,41236,37940,43235,47676,48941,50584,49108,54763,54755
5 h 12 min,22167,22201,23457,94414,95392,93709.5,40185,42141,43535,41703,37880,43689,47549,49188,51193,49568,55065,55108
5 h 14 min,22616,22288,23139,95093,96182,94095,40311,42243,43745,41390,38504,43418,48300,49225,50848,49454,55478,55501
5 h 16 min,22621,22155,23299,95517.5,96820,94648,40507,42799,43426,41279,38631,43297,47951,49736,51168,49658,54876,55757
5 h 18 min,22525,22303,23118,95990,97507,95412,40647,42808,43938,41932,39108,43845,48528,49886,51500,50138,55378,55641
5 h 20 min,22607,22432,23283,96913,98024,95897.5,40856,42788,43705,42314,39002,43656,48231,49913,51724,50227,55776,56038
5 h 22 min,22711,22410,23431,97385,98153.5,96158.5,40876,42869,44597,42140,38839,43769,48740,50518,52205,50384,56624,56519
5 h 24 min,22777,22555,23375,97483.5,99014.5,96744.5,41359,43234,44161,42573,39566,44050,48866,50072,52528,50558,55928,56449
5 h 26 min,22551,22471,23290,98373.5,99516.5,97508,41080,43847,44756,42625,39194,44292,49192,50784,52621,51565,56906,56950
5 h 28 min,22772,22527,23346,99556.5,99659,97927,41537,43885,44878,42364,39548,44252,48997,51149,53038,51261,56802,57078
5 h 30 min,22761,22395,23619,99597,101178,98730,41201,43825,44959,43120,39623,44671,49572,50898,53271,51441,56804,57335
5 h 32 min,22807,22677,23256,100616,100980.5,99603.5,41593,43743,44851,43339,39848,44672,49481,51319,53546,51725,57479,57892
5 h 34 min,22595,22562,23482,100283.5,102102.5,99845,41481,44305,45176,43376,39954,44787,50098,51425,53857,51622,57549,57628
5 h 36 min,22770,22446,23404,101570.5,102563,100697,41665,44507,45397,43651,40291,44601,49898,51775,53633,52122,57779,57402
5 h 38 min,22461,22671,23438,101729,102958.5,101041,42335,44416,44848,43767,39795,44575,50659,52231,54489,52705,57780,58223
5 h 40 min,22777,22795,23312,102551.5,103986.5,101666,42270,44808,45208,43255,40177,44924,50794,52670,54345,52696,58093,58136
5 h 42 min,22826,22684,23336,103028.5,104523,102380.5,42608,45055,45400,43603,40148,44832,50632,52161,54726,52593,57486,58707
5 h 44 min,22766,22802,23519,103065,105177,102780,42483,45457,45415,43764,40345,44908,50994,52628,54722,52802,58184,58321
5 h 46 min,22491,22692,23656,104338.5,105681,103707.5,42723,45028,45642,44084,40703,45173,51141,52864,55019,52870,59081,59092
5 h 48 min,22771,22736,23549,104511,105829.5,103464.5,42741,45614,45922,44095,40589,44933,51211,53145,55118,53787,58975,58675
5 h 50 min,22856,22804,23738,105737.5,106720.5,104538,43192,45785,45848,44070,40777,45312,51603,53224,55344,53821,59488,59226
5 h 52 min,22769,22619,23698,105366.5,107316.5,105217.5,42936,46218,46055,44570,40891,45146,51760,53366,55641,53563,59096,59500
5 h 54 min,22773,22722,23647,106385,107799.5,105407.5,43411,45643,46277,44503,41113,45521,52199,54017,56184,54166,59628,59660
5 h 56 min,22619,22912,23816,106600.5,108211.5,105707,43481,46274,46305,44443,41497,45538,51651,53713,55995,54247,59585,60035
5 h 58 min,22794,23227,23584,107191.5,109034,106486,44011,45974,46267,44915,41235,45617,52020,54358,55946,54641,60296,60060
6,22777,22868,23550,107780,109730.5,107208,43955,46285,46651,44770,41359,45723,52020,54162,56676,54718,60350,60086
