time,negative control,negative control,negative control,3 nM sfGFP,3 nM sfGFP,3 nM sfGFP
6 h 2 min,45105,45334,47195,667572,656968,617248
6 h 3 min,44832,45419,46892,667148,656091,615933
6 h 4 min,44909,45692,46617,667093,657050,618933
6 h 5 min,45266,45391,46968,671039,660091,621071
6 h 6 min,45479,45672,46833,670395,657680,622098
6 h 7 min,45406,45552,46991,672710,659735,621537
6 h 8 min,45098,45586,46284,674313,663640,623866
6 h 9 min,45287,45960,46808,676190,663928,624756
6 h 10 min,44977,45759,47206,677259,666147,627771
6 h 11 min,44890,45819,46838,678300,665202,627702
6 h 12 min,44843,45693,46891,680766,669216,628593
6 h 13 min,45077,45738,47347,680109,670175,629223
6 h 14 min,44825,45308,46922,683205,672559,632045
6 h 15 min,45026,45473,46950,683520,672943,634566
6 h 16 min,45079,45697,47082,687987,676012,633785
6 h 17 min,45106,45851,46764,686685,678218,636279
6 h 18 min,45215,45473,46764,690837,680396,638142
6 h 19 min,44750,45444,46822,686124,675396,636621
6 h 20 min,45272,45743,46834,690426,678314,639430
6 h 21 min,45138,45622,46879,694331,683123,640567
6 h 22 min,44959,45311,46484,698345,683712,642486
6 h 23 min,45165,45579,47218,698085,685548,642677
6 h 24 min,45428,45907,47440,699455,686562,647267
6 h 25 min,45451,46056,46925,698057,684753,644938
6 h 26 min,44764,45774,47385,701030,686795,646130
6 h 27 min,45124,45510,46549,701277,689658,646952
6 h 28 min,45045,45601,46678,703277,691631,647651
6 h 29 min,45370,45672,47086,706059,693741,649131
6 h 30 min,45121,45534,47088,704757,694591,653200
6 h 31 min,45529,45794,47230,707264,695303,653008
6 h 32 min,45210,46376,46913,710566,696509,654460
6 h 33 min,45788,45603,47475,710621,699085,656255
6 h 34 min,45156,45562,47034,713581,702222,658077
6 h 35 min,45217,46231,47359,714868,703414,659256
6 h 36 min,45099,45775,46861,713252,701058,658762
6 h 37 min,45816,45737,47185,718581,705250,662517
6 h 38 min,45419,45605,47317,720746,706908,664339
6 h 39 min,45290,45893,47099,720856,709265,664120
6 h 40 min,45322,45763,46992,722267,707812,664983
6 h 41 min,45372,45874,47073,725912,711799,667106
6 h 42 min,45600,46096,47250,726583,711950,667709
6 h 43 min,45599,45762,46624,725733,714087,669723
6 h 44 min,45444,45930,47396,727378,715293,670655
6 h 45 min,45484,45977,47147,726556,715047,671203
6 h 46 min,45277,45904,46997,726857,716417,672121
6 h 47 min,45447,46437,47168,731118,718938,674943
6 h 48 min,45125,46067,46982,732104,720856,675286
6 h 49 min,45491,45408,46918,734310,722130,676026
6 h 50 min,45675,45953,46888,733420,723637,676656
6 h 51 min,45201,45634,47379,736461,724322,677999
6 h 52 min,45371,45769,47328,736585,724857,679410
6 h 53 min,45479,45934,47050,738010,726035,682191
6 h 54 min,45413,45734,47375,739188,726679,682205
6 h 55 min,45462,45628,47328,731461,721198,677985
6 h 56 min,45503,46378,47267,741394,728309,682205
6 h 57 min,45752,45822,47011,740544,729255,684630
6 h 58 min,45549,46143,47397,740298,729871,684795
