,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
5 h 50 min,1038328.333,889131.333,980574.333,895594.333,714028.333,785931.333,380467,392046,386710,854261,1008325,937178,865205.667,1023024.667,960581.667,463399.667,494366.667,431992.667,1404392.667,1291992.667,1167465.667,911012,930992,901675,368955.333,383077.333,388275.333,56704.667,62322.667,48876.667,44269,52730,46937,56655.667,59227.667,42762.667,4532.667,3159.667,1358.667,2666,2465,3333,2519,5890,1868
6 h ,1019379.333,871049.333,954393.333,882654.333,698118.333,776071.333,379285,384043,378611,857478,1012464,938567,862221.667,1049948.667,930591.667,454956.667,487463.667,423260.667,1390270.667,1278681.667,1164728.667,918273,933646,906750,369120.333,384604.333,388385.333,54626.667,61062.667,47582.667,41861,53059,45509,56113.667,58364.667,42601.667,3780.667,2586.667,884.667,2817,3247,3379,3173,6082,1462
6 h 10 min,1039896.333,890575.333,982816.333,897876.333,715320.333,790840.333,381320,394466,389130,856585,1012217,941221,868327.667,1049109.667,966013.667,466135.667,497927.667,433559.667,1414705.667,1292790.667,1175454.667,912690,933522,906612,370605.333,385511.333,390640.333,56385.667,63300.667,49355.667,44506,53423,47419,56478.667,60170.667,43145.667,4386.667,3261.667,1323.667,2997,3479,3634,3163,5508,1916
6 h 20 min,1038562.333,893669.333,983407.333,900159.333,717328.333,791225.333,382283,394452,390203,859128,1015462,942115,870651.667,1053441.667,966962.667,466575.667,498683.667,434219.667,1413288.667,1294646.667,1177791.667,912222,936025,904824,370757.333,386391.333,391424.333,57138.667,63699.667,50025.667,44852,53952,47491,56820.667,60004.667,43563.667,4628.667,3715.667,1819.667,2960,3443,3513,3052,5795,1943
6 h 30 min,1020108.333,875257.333,961997.333,883424.333,700978.333,781269.333,382365,386215,380839,862387,1016507,941042,865865.667,1076597.667,934510.667,458256.667,490460.667,425735.667,1394807.667,1279754.667,1172594.667,919139,933412,910325,372035.333,387670.333,391837.333,55535.667,61043.667,48982.667,43375,52966,46391,56628.667,58702.667,43167.667,4120.667,3251.667,1326.667,2954,2933,3713,3265,5943,1387
6 h 40 min,1039909.333,895415.333,988399.333,904243.333,717919.333,796258.333,384194,394287,390506,864505,1022681,945828,877127.667,1068085.667,968997.667,469229.667,499646.667,436777.667,1416547.667,1294770.667,1187101.667,911535,936520,910861,372008.333,388825.333,393322.333,58368.667,64894.667,51134.667,46339,55160,48955,57531.667,60262.667,43731.667,5212.667,4218.667,1840.667,3489,3311,3906,3419,6238,1954
6 h 50 min,1018252.333,882668.333,969271.333,890726.333,702009.333,784886.333,383781,387315,381499,866141,1021567,943091,873208.667,1088877.667,943351.667,461432.667,492152.667,428472.667,1398534.667,1281693.667,1176540.667,918410,937964,918507,372255.333,388179.333,396017.333,56577.667,62750.667,49622.667,44646,54601,47587,56903.667,59595.667,43572.667,5241.667,3570.667,1890.667,3167,3088,3614,3934,6781,2000
7 h ,1021469.333,882201.333,969642.333,891070.333,704429.333,786577.333,385019,388773,383314,865894,1023520,946199,874061.667,1093332.667,944300.667,461144.667,493252.667,429613.667,1397214.667,1277251.667,1168166.667,919139,937263,916265,374607.333,389843.333,393652.333,57304.667,63260.667,49791.667,44677,54366,46794,57715.667,58769.667,44624.667,5182.667,3917.667,2041.667,3407,3109,4431,3967,7023,1935
7 h 10 min,1021029.333,881623.333,971595.333,895085.333,702711.333,785601.333,383809,387948,382943,868108,1024235,943682,876646.667,1097595.667,943998.667,461364.667,490625.667,429159.667,1395976.667,1280387.667,1174244.667,920253,936974,918823,373864.333,389293.333,396924.333,57340.667,63147.667,49956.667,44557,53351,46524,57502.667,59243.667,45012.667,5131.667,4132.667,1997.667,3638,3357,4400,3855,6928,2237
7 h 20 min,1037888.333,900379.333,990310.333,908341.333,716503.333,798444.333,387040,395841,393159,868933,1023685,944026,885309.667,1084903.667,972957.667,469298.667,500498.667,437093.667,1417249.667,1293959.667,1188407.667,912429,936520,914230,374786.333,391397.333,397351.333,59233.667,65500.667,51786.667,46402,54719,49244,58301.667,60997.667,45638.667,5548.667,4996.667,3094.667,4273,4447,4748,3982,6213,2570
